ID,Clinic Name,Clinic URL,Telephone Number,Fax Number,Address,Opening Hours
1,ARTISTIQUE AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47807,65183169,67581374,"1 MARITIME SQUARE, HARBOURFRONT CENTRE, #02-108 SINGAPORE 099253",
2,DA CLINIC @ BISHAN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46758,31650140,,"BLK 501 BISHAN STREET 11, #01-374 SINGAPORE 570501","Monday to Friday : 08:30 am to 01:00 pm, 01:00 pm to 04:00 pm, 06:00 pm to 09:00 pm | Saturday and Sunday : 08:30 am to 12:00 pm"
3,ICON CANCER CENTRE GLENEAGLES,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47364,64713373,64711062,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #05-15 SINGAPORE 258499",
4,LEROY MCCULLY AND ASSOCIATES PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=42460,66940100,65700580,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #11-43/44/45/46 SINGAPORE 329563",24 Hour
5,SHANG DENTAL (KALLANG),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48062,64433443,64433443,"BLK 71 KALLANG BAHRU, #01-531F SINGAPORE 330071",
6,SINGHEALTH POLYCLINICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=25070,66436969,67833132,"1 TAMPINES STREET 41, TAMPINES POLYCLINIC, SINGAPORE 529203","Monday to Friday : 08:00 am to 01:00 pm, 02:00 pm to 04:30 pm | Saturday : 08:00 am to 12:30 pm | Sunday and Public Holiday : Closed"
7,1 ALJUNIED MEDICAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48135,ALJUNIED MEDICAL,62861923,"389 UPPER ALJUNIED ROAD, MACPHERSON GARDEN ESTATE, SINGAPORE 367874",
8,1 BISHAN MEDICAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47462,64561600,,"BLK 283 BISHAN STREET 22, #01-191 SINGAPORE 570283",
9,1 MEDICAL TECK GHEE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46866,62517030,62517031,"BLK 410 ANG MO KIO AVENUE 10, TECK GHEE SQUARE, #01-837 SINGAPORE 560410","Monday to Sunday : 07:00 am to 01:00 pm, 06:00 pm to 11:00 pm"
10,1 TOA PAYOH MEDICAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48476,62512256,62512256,"BLK 4 LORONG 7 TOA PAYOH, TOA PAYOH COURT, #01-115 SINGAPORE 310004",
11,1728 DENTAL PRACTICE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47741,87641728,87641728,"BLK 205 BEDOK NORTH STREET 1, #01-389 SINGAPORE 460205",
12,1728 DENTAL PRACTICE (ANG MO KIO),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46491,96311728,69048567,"BLK 704 ANG MO KIO AVENUE 8, #01-2559 SINGAPORE 560704",Monday to Friday : 09:00 am to 09:00 pm | Saturday : 09:00 am to 05:00 pm | Sunday and Public Holiday : Closed
13,1728 DENTAL PRACTICE (JURONG),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46556,97701728,69048567,"BLK 135 JURONG GATEWAY ROAD, #01-319 SINGAPORE 600135",
14,1728 DENTAL PRACTICE (TAMPINES) PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46555,97251728,65099939,"BLK 201E TAMPINES STREET 23, #01-60 SINGAPORE 527201",Monday to Friday : 09:00 am to 09:00 pm | Saturday : 09:00 am to 05:00 pm | Sunday and Public Holiday : Closed
15,18 CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=1770,62999750,62990732,"BLK 101 TOWNER ROAD, #01-228 SINGAPORE 322101","Eve of Chinese New Year (24/01/2020) : 08:30 am to 12:00 pm | Chinese New Year (27/01/2020) : 09:00 am to 12:00 pm | Monday to Thursday : 08:30 am to 12:00 pm, 01:30 pm to 04:00 pm, 06:00 pm to 09:00 pm | Friday : 08:30 am to 12:05 pm, 01:30 pm to 04:00 pm | Saturday : Closed | Sunday : 09:00 am to 01:00 pm"
16,"1AESTHETICS, MEDICAL & SURGERY",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44813,66125173,66125173,"8 EU TONG SEN STREET, THE CENTRAL, #14-90 SINGAPORE 059818",Public Holiday to Public Holiday : 11:00 am to 08:00 pm | Monday to Saturday : 11:00 am to 08:00 pm | Sunday to Sunday : Closed
17,1DOC MEDICAL CENTRE (BEDOK),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48227,64631795,67785300,"11 BEDOK NORTH STREET 1, HEARTBEAT @ BEDOK, #01-12 SINGAPORE 469662",
18,1DOC MEDICAL CENTRE (CHANGI),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48112,64819793,64819796,"51 CHANGI BUSINESS PARK CENTRAL 2, THE SIGNATURE, #02-02 SINGAPORE 486066",
19,216 PROCROSS MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47460,98765330,67022840,"BLK 216 BOON LAY AVENUE, MULTI STOREY CAR PARK, #01-03 SINGAPORE 640216",
20,3 DENTAL PRACTICE (TAMPINES),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47982,DENTAL PRACTICE (TAMPINES),91001974,"BLK 139 TAMPINES STREET 11, #01-62 SINGAPORE 521139",
